building_code,building_name,building_address,lat,lon
ABA,Anna Bing Arnold Child Care Ctr.,2715 University Ave.,34.028564714285714,-118.28061885714285
ABM,American Button Manufacturing,2823 S. Flower St.,34.02580244897959,-118.276025
ACB,Ahmanson Ctr. for Biological Research,825 Bloom Walk,34.0193619,-118.28691846895353
ACC,Accounting,Leventhal School of 3660 Trousdale Pkwy.,34.01915685,-118.28556796132531
ACX,Ahmanson Ctr. for Biological Research Animal Section,825 Bloom Walk,34.0193619,-118.28691846895353
ADM,George Finley Bovard Administration Bldg. and Kenneth Norris,Jr. Aud. 3551 Trousdale Pkwy.,34.0206781,-118.2850875
ADX,Alpha Delta Chi House,725-731 W. 32nd St.,33.7151601,-118.2871282
AES,Alice and Eleonore Schoenfeld Symphonic Hall,3450 Watt Way,34.0228111,-118.28560771536152
AGO,Gamma Epsilon Omega fraternity,2831 University Ave.,34.027537333333335,-118.28128748484849
AHF,Allan Hancock Foundation Bldg.,3616 Trousdale Pkwy.,34.01976416,-118.28547223999999
AHN,Dosan Ahn Chang Ho Family House,809 W. 34th St.,34.0229696,-118.28408512485734
ALM,Alumni House,Widney 635 Childs Way,34.01958905,-118.28282761155322
ANH,Annenberg House,711 W. 27th St.,34.02808311111111,-118.27867577777778
ANN,Wallis Annenberg Hall,3630 Watt Way,34.020776100000006,-118.28702426020322
ASC,Annenberg School for Communication and Journalism,3502 Watt Way,34.02199795,-118.28621684001078
ATM,At Mateo,1262 Palmetto St. Ste. 515,34.04007,-118.2335422
BAA,Bel-Aire Apts.,1124 W. 29th St.,34.028106550000004,-118.28468299382212
BAB,Barracks A & B,1200 N. State St.,34.05818038383838,-118.20979694949496
BAR,Barlow Hospital,2000 Stadium Way,34.0758442,-118.2481296
BCC,Eli and Edythe Broad CIRM Center for Regenerative Medicine and Stem Cell Research,1425 San Pablo St.,34.06167657575757,-118.20346166666667
BCH,Boone Center Housing,10317-10343 W. Big Fishermans Cove Catalina Island,33.44536678630327,-118.48009382968904
BHE,Biegler Hall of Engineering,920 Downey Way,34.02053755,-118.28853780337589
BIT,Bing Theatre,3500 Watt Way,34.021273,-118.287114
BKS,Pertusati University Bookstore,840 Childs Way,34.020748142857144,-118.28645457142858
BMH,Booth Ferris Rehearsal Hall,820 W. 34th St.,34.0226434,-118.2848027171458
BMP,Burbank Medical Plaza #2,191 S. Buena Vista St. #310 Burbank,34.159946081632654,-118.32905726530612
BMT,Bishop Medical Teaching and Research Bldg.,1333 San Pablo St.,34.060095177500465,-118.20426560609182
BRI,Barrack Hall,3670 Trousdale Pkwy.,34.018844200000004,-118.28577094826521
CAB,CMSC Administration Bldg.,P.O. Box 398 Catalina Island 90704,33.44454820955747,-118.48200892692567
CAL,Carole Little Bldg.,3434 S. Grand Ave.,34.0283216,-118.2711155
CAP,Century Apts.,3115 S. Orchard Ave.,33.8838497,-118.2881154
CAR,Cardinal Gardens,3131 S. McClintock Ave.,42.816427,-70.893133
CAS,College Academic Services Bldg.,3454 Trousdale Pkwy.,34.022361700000005,-118.28370097735582
CBB,Century Boulevard Building,6033 Century Blvd. #920 Los Angeles,33.945193,-118.3732038
CBG,University Gardens Apts.,1250 W. Jefferson Blvd.,34.025417857142855,-118.29303628571428
CCC,Health Sciences Child Care Ctr.,2250 Alcazar St.,34.06316161921298,-118.19989713799859
CDF,Campus Development & Facilities Bldg.,3434 Grand Ave.,34.13135668861464,-117.70280553706048
CEM,Ctr. for Electron Microscopy and Microanalysis,814 W. Bloom Walk,34.0194241,-118.287944
CEN,Centennial Apts.,2390 Portland St.,34.03141340816326,-118.28242085714285
CHP,Ctr. for Health Professions,1540 Alcazar St.,34.06342041357677,-118.2033382769042
CIC,Jessica and Charles Cale and Ray Irani Residential College,929 W. Jefferson Blvd.,34.0249095,-118.285111
CLH,College House,823 W. 34th St.,34.0231455,-118.28456566882866
CNG,Cardinal �N Gold,737 W. 30th St.,34.0265192,-118.28057446540816
COH,Cockins House,2653 S. Hoover St.,34.0078132,-118.287227
COL,College Residence Hall,615 W. McCarthy Way,null,null
CPA,The Center for International and Public Affairs,3518 Trousdale Pkwy.,34.02116275,-118.28372242913925
CRC,A.C. Allen Cowlings and Ilium Residential College,3131 S. Hoover St.,34.026202420541765,-118.28406562514849
